<?xml version="1.0" encoding="UTF-8"?>
<values>
Support	antecedent_support	consequent_support	Confidence	Lift	Conv	CF	NetConf	YulesQ	nAttributes
0.34	0.34	0.34	1.0	3.0	Infinity	1.0	1.0	1.0	2
0.34	0.34	0.34	1.0	3.0	Infinity	1.0	1.0	1.0	2
0.11	0.11	0.19	0.94	5.03	13.02	0.93	0.85	0.99	2
0.29	0.3	0.33	0.98	3.06	29.93	0.97	0.94	1.0	2
0.04	0.04	0.05	1.0	25.0	Infinity	1.0	1.0	1.0	2
0.03	0.03	0.04	1.0	30.0	Infinity	1.0	1.0	1.0	2
0.17	0.19	0.2	0.9	4.62	7.53	0.87	0.87	1.0	2
0.03	0.03	0.03	1.0	37.5	Infinity	1.0	1.0	1.0	2
0.24	0.24	0.33	1.0	3.13	Infinity	1.0	0.89	1.0	2
0.33	0.33	0.34	1.0	3.01	Infinity	1.0	0.99	1.0	2
0.01	0.01	0.01	1.0	150.0	Infinity	1.0	1.01	1.0	2
0.06	0.06	0.06	1.0	16.67	Infinity	1.0	1.0	1.0	2
0.33	0.33	0.34	1.0	3.01	Infinity	1.0	0.99	1.0	2
0.26	0.28	0.3	0.93	3.16	9.66	0.9	0.88	1.0	2
0.1	0.12	0.15	0.78	5.56	3.88	0.75	0.73	0.97	2
0.01	0.01	0.01	1.0	150.0	Infinity	1.0	1.01	1.0	2
0.37	0.37	0.67	1.0	1.51	Infinity	1.0	0.53	1.0	2
0.29	0.3	0.33	0.98	3.06	29.93	0.97	0.94	1.0	2
0.07	0.08	0.08	0.91	12.4	10.2	0.91	0.91	1.0	2
0.19	0.2	0.24	0.97	4.03	22.05	0.96	0.9	1.0	2
0.07	0.08	0.08	0.91	12.4	10.2	0.91	0.91	1.0	2
0.07	0.07	0.13	1.0	7.9	Infinity	1.0	0.94	1.0	2
0.16	0.17	0.19	0.92	4.93	10.17	0.91	0.88	1.0	2
0.06	0.06	0.08	1.0	13.64	Infinity	1.0	0.99	1.0	2
0.05	0.05	0.06	1.0	18.75	Infinity	1.0	0.99	1.0	2
0.02	0.02	0.02	1.0	75.0	Infinity	1.0	1.0	1.0	3
0.02	0.02	0.02	1.0	75.0	Infinity	1.0	1.0	1.0	3
0.05	0.06	0.05	0.88	18.75	7.63	0.87	0.88	1.0	3
0.03	0.03	0.03	1.0	50.0	Infinity	1.0	1.0	1.0	3
0.05	0.05	0.05	1.0	25.0	Infinity	1.0	1.01	1.0	3
0.13	0.15	0.18	0.91	5.22	8.68	0.89	0.86	0.99	3
0.13	0.14	0.19	0.96	5.09	16.27	0.94	0.89	1.0	3
0.12	0.14	0.16	0.91	5.87	8.47	0.89	0.87	1.0	3
0.12	0.13	0.14	0.9	6.72	8.24	0.88	0.88	1.0	3
0.21	0.21	0.3	1.0	3.41	Infinity	1.0	0.9	1.0	3
0.21	0.21	0.3	1.0	3.41	Infinity	1.0	0.9	1.0	3
0.21	0.23	0.27	0.92	3.42	8.32	0.88	0.84	0.99	3
0.23	0.24	0.3	0.95	3.22	12.72	0.93	0.86	0.99	3
0.16	0.17	0.23	0.96	4.23	18.56	0.95	0.88	1.0	3
0.11	0.12	0.12	0.84	6.95	5.29	0.82	0.82	1.0	3
0.14	0.16	0.17	0.87	5.22	6.39	0.85	0.84	0.99	3
0.11	0.11	0.19	1.0	5.36	Infinity	1.0	0.92	1.0	3
0.27	0.27	0.33	1.0	3.13	Infinity	1.0	0.93	1.0	3
0.13	0.14	0.19	0.96	5.09	16.27	0.94	0.89	1.0	3
0.03	0.03	0.03	1.0	37.5	Infinity	1.0	1.0	1.0	4
0.15	0.15	0.23	1.0	4.55	Infinity	1.0	0.92	1.0	4
0.17	0.17	0.23	1.0	4.55	Infinity	1.0	0.93	1.0	4
</values>
